order_no,origin_latitude,origin_longitude,destination_latitude,destination_longitude
1,-6.2655,106.8494,-6.2099,106.8856
2,-6.2261,106.8582,-6.1997,106.8455
3,-6.2554,106.8551,-6.2671,106.8874
4,-6.2896,106.7736,-6.212,106.8081
5,-6.2255,106.812,-6.1897,106.7987
6,-6.2372,106.7825,-6.2171,106.7706
7,-6.2337,106.8175,-6.2245,106.804
8,-6.2093,106.8486,-6.1664,106.9161
9,-6.2427,106.8588,-6.2353,106.8806
10,-6.2465,106.8323,-6.1748,106.8444
11,-6.2332,106.7579,-6.1985,106.8412
12,-6.2567,106.7939,-6.1999,106.8019
13,-6.245,106.8289,-6.1956,106.8218
14,-6.2628,106.7954,-6.2215,106.7981
15,-6.2739,106.8213,-6.2927,106.8622
16,-6.2188,106.8224,-6.1891,106.8189
17,-6.2274,106.819,-6.1538,106.8497
18,-6.21,106.8503,-6.1639,106.9107
19,-6.2274,106.819,-6.1636,106.909
20,-6.2721,106.8485,-6.1817,106.8351
21,-6.21,106.8503,-6.1947,106.8479
22,-6.2228,106.8189,-6.2009,106.8159
23,-6.2119,106.8242,-6.1968,106.8226
24,-6.2427,106.8588,-6.246,106.9024
25,-6.2493,106.8527,-6.1767,106.8306
26,-6.2366,106.8623,-6.1661,106.8544
27,-6.2304,106.7899,-6.2215,106.7988
28,-6.257,106.8523,-6.2388,106.9136
29,-6.2647,106.7889,-6.2245,106.804
30,-6.2252,106.7696,-6.2066,106.7944
31,-6.2531,106.8554,-6.2692,106.8704
32,-6.2518,106.8509,-6.1775,106.8313
33,-6.2628,106.7654,-6.1685,106.7646
34,-6.2239,106.8338,-6.2078,106.7812
35,-6.21,106.8503,-6.1887,106.8478
36,-6.2151,106.8239,-6.2228,106.9044
37,-6.21,106.8503,-6.1178,106.8627
38,-6.2428,106.8181,-6.2406,106.8919
39,-6.2215,106.7912,-6.1949,106.7978
40,-6.3426,106.8349,-6.3307,106.9063
41,-6.2427,106.8588,-6.2536,106.8657
42,-6.252,106.8616,-6.2303,106.8656
43,-6.2427,106.8588,-6.2461,106.8707
44,-6.2663,106.8363,-6.3089,106.8821
45,-6.2467,106.8257,-6.1767,106.8306
46,-6.2427,106.8588,-6.1899,106.7986
47,-6.2347,106.8522,-6.2053,106.8108
48,-6.208,106.8497,-6.204,106.856
49,-6.2579,106.8502,-6.1672,106.8197
50,-6.2505,106.7859,-6.2073,106.8564
51,-6.24,106.8561,-6.2504,106.8736
52,-6.2175,106.8285,-6.1656,106.8103
53,-6.2427,106.8588,-6.1899,106.7986
54,-6.2555,106.8562,-6.2671,106.8874
55,-6.2529,106.8001,-6.2579,106.8692
56,-6.2429,106.859,-6.2514,106.88
57,-6.3417,106.8135,-6.256,106.8633
58,-6.2688,106.8434,-6.1574,106.8241
59,-6.2427,106.8588,-6.2357,106.8678
60,-6.21,106.8503,-6.2175,106.94
61,-6.2902,106.8272,-6.2236,106.7321
62,-6.2224,106.8284,-6.1769,106.7886
63,-6.2258,106.8518,-6.1748,106.8444
64,-6.2213,106.7826,-6.2198,106.7208
65,-6.251,106.8399,-6.3095,106.8823
66,-6.2549,106.8414,-6.1997,106.8003
67,-6.2439,106.8008,-6.1948,106.8185
68,-6.2158,106.8275,-6.2074,106.7974
69,-6.3064,106.8476,-6.1942,106.8226
70,-6.23,106.8386,-6.1767,106.8306
71,-6.218,106.795,-6.2223,106.7989
72,-6.2155,106.8482,-6.2207,106.8649
73,-6.2437,106.8245,-6.1765,106.8306
74,-6.225,106.763,-6.2245,106.804
75,-6.2434,106.8588,-6.3219,106.8585
76,-6.2094,106.8491,-6.2034,106.8208
77,-6.239,106.8429,-6.1895,106.8945
78,-6.2167,106.8289,-6.1999,106.8095
79,-6.21,106.8503,-6.1999,106.8274
80,-6.2546,106.8413,-6.3103,106.8667
81,-6.2607,106.7915,-6.1775,106.8313
82,-6.2167,106.825,-6.2024,106.8234
83,-6.237,106.7548,-6.1544,106.7058
84,-6.2942,106.8201,-6.3085,106.8614
85,-6.2311,106.8185,-6.1887,106.8452
86,-6.3115,106.8363,-6.3095,106.8823
87,-6.2197,106.8341,-6.1976,106.8798
88,-6.2507,106.8502,-6.1775,106.8313
89,-6.2823,106.7997,-6.2028,106.7829
90,-6.2343,106.7777,-6.198,106.762
91,-6.2034,106.8255,-6.1871,106.8291
92,-6.2079,106.8267,-6.2074,106.7974
93,-6.2554,106.8551,-6.2694,106.8695
94,-6.2302,106.7977,-6.2626,106.8657
95,-6.2466,106.8312,-6.1857,106.8108
96,-6.2486,106.8557,-6.2147,106.7968
97,-6.253,106.783,-6.2409,106.8659
98,-6.2094,106.8491,-6.2089,106.8184
99,-6.2109,106.8372,-6.2753,106.8758
100,-6.224,106.8268,-6.2178,106.8754
